Time of A;Time minus avg Time of A;Time of B;Time minus avg Time of B;Avg time of A & B;Payment A;Payment B;Fact.A Time of A;Fact.A Time minus avg Time of A;Fact.A Time of B;Fact.A Time minus avg Time of B;Fact.A Avg time of A & B;Fact.A Payment A;Fact.A Payment B;Fact.B Time of A;Fact.B Time minus avg Time of A;Fact.B Time of B;Fact.B Time minus avg Time of B;Fact.B Avg time of A & B;Fact.B Payment A;Fact.B Payment B
1523.0;-1208.0;7635.0;538.0;-335.0;873.0;-873.0;1523000.0;1520269.0;7635.0;538.0;760403.5;-759865.5;759865.5;1523.0;-1208.0;7635000.0;7627903.0;3813347.5;3814555.5;-3814555.5
1222.0;-1509.0;8200.0;1103.0;-203.0;1306.0;-1306.0;1222000.0;1219269.0;8200.0;1103.0;610186.0;-609083.0;609083.0;1222.0;-1509.0;8200000.0;8192903.0;4095697.0;4097206.0;-4097206.0
1961.0;-770.0;7216.0;119.0;-325.5;444.5;-444.5;1961000.0;1958269.0;7216.0;119.0;979194.0;-979075.0;979075.0;1961.0;-770.0;7216000.0;7208903.0;3604066.5;3604836.5;-3604836.5
1855.0;-876.0;7293.0;196.0;-340.0;536.0;-536.0;1855000.0;1852269.0;7293.0;196.0;926232.5;-926036.5;926036.5;1855.0;-876.0;7293000.0;7285903.0;3642513.5;3643389.5;-3643389.5
1445.0;-1286.0;7747.0;650.0;-318.0;968.0;-968.0;1445000.0;1442269.0;7747.0;650.0;721459.5;-720809.5;720809.5;1445.0;-1286.0;7747000.0;7739903.0;3869308.5;3870594.5;-3870594.5
1868.0;-863.0;7276.0;179.0;-342.0;521.0;-521.0;1868000.0;1865269.0;7276.0;179.0;932724.0;-932545.0;932545.0;1868.0;-863.0;7276000.0;7268903.0;3634020.0;3634883.0;-3634883.0
2266.0;-465.0;7041.0;-56.0;-260.5;204.5;-204.5;2266000.0;2263269.0;7041.0;-56.0;1131606.5;-1131662.5;1131662.5;2266.0;-465.0;7041000.0;7033903.0;3516719.0;3517184.0;-3517184.0
2744.0;13.0;6854.0;-243.0;-115.0;-128.0;128.0;2744000.0;2741269.0;6854.0;-243.0;1370513.0;-1370756.0;1370756.0;2744.0;13.0;6854000.0;6846903.0;3423458.0;3423445.0;-3423445.0
3139.0;408.0;6769.0;-328.0;40.0;-368.0;368.0;3139000.0;3136269.0;6769.0;-328.0;1567970.5;-1568298.5;1568298.5;3139.0;408.0;6769000.0;6761903.0;3381155.5;3380747.5;-3380747.5
4468.0;1737.0;6559.0;-538.0;599.5;-1137.5;1137.5;4468000.0;4465269.0;6559.0;-538.0;2232365.5;-2232903.5;2232903.5;4468.0;1737.0;6559000.0;6551903.0;3276820.0;3275083.0;-3275083.0
2020.0;-711.0;7178.0;81.0;-315.0;396.0;-396.0;2020000.0;2017269.0;7178.0;81.0;1008675.0;-1008594.0;1008594.0;2020.0;-711.0;7178000.0;7170903.0;3585096.0;3585807.0;-3585807.0
2186.0;-545.0;7080.0;-17.0;-281.0;264.0;-264.0;2186000.0;2183269.0;7080.0;-17.0;1091626.0;-1091643.0;1091643.0;2186.0;-545.0;7080000.0;7072903.0;3536179.0;3536724.0;-3536724.0
3014.0;283.0;6801.0;-296.0;-6.5;-289.5;289.5;3014000.0;3011269.0;6801.0;-296.0;1505486.5;-1505782.5;1505782.5;3014.0;283.0;6801000.0;6793903.0;3397093.0;3396810.0;-3396810.0
2522.0;-209.0;6933.0;-164.0;-186.5;22.5;-22.5;2522000.0;2519269.0;6933.0;-164.0;1259552.5;-1259716.5;1259716.5;2522.0;-209.0;6933000.0;6925903.0;3462847.0;3463056.0;-3463056.0
2086.0;-645.0;7151.0;54.0;-295.5;349.5;-349.5;2086000.0;2083269.0;7151.0;54.0;1041661.5;-1041607.5;1041607.5;2086.0;-645.0;7151000.0;7143903.0;3571629.0;3572274.0;-3572274.0
2526.0;-205.0;6931.0;-166.0;-185.5;19.5;-19.5;2526000.0;2523269.0;6931.0;-166.0;1261551.5;-1261717.5;1261717.5;2526.0;-205.0;6931000.0;6923903.0;3461849.0;3462054.0;-3462054.0
1923.0;-808.0;7238.0;141.0;-333.5;474.5;-474.5;1923000.0;1920269.0;7238.0;141.0;960205.0;-960064.0;960064.0;1923.0;-808.0;7238000.0;7230903.0;3615047.5;3615855.5;-3615855.5
1497.0;-1234.0;7654.0;557.0;-338.5;895.5;-895.5;1497000.0;1494269.0;7654.0;557.0;747413.0;-746856.0;746856.0;1497.0;-1234.0;7654000.0;7646903.0;3822834.5;3824068.5;-3824068.5
2002.0;-729.0;7190.0;93.0;-318.0;411.0;-411.0;2002000.0;1999269.0;7190.0;93.0;999681.0;-999588.0;999588.0;2002.0;-729.0;7190000.0;7182903.0;3591087.0;3591816.0;-3591816.0
1654.0;-1077.0;7454.0;357.0;-360.0;717.0;-717.0;1654000.0;1651269.0;7454.0;357.0;825813.0;-825456.0;825456.0;1654.0;-1077.0;7454000.0;7446903.0;3722913.0;3723990.0;-3723990.0
1783.0;-948.0;7350.0;253.0;-347.5;600.5;-600.5;1783000.0;1780269.0;7350.0;253.0;890261.0;-890008.0;890008.0;1783.0;-948.0;7350000.0;7342903.0;3670977.5;3671925.5;-3671925.5
1386.0;-1345.0;7821.0;724.0;-310.5;1034.5;-1034.5;1386000.0;1383269.0;7821.0;724.0;691996.5;-691272.5;691272.5;1386.0;-1345.0;7821000.0;7813903.0;3906279.0;3907624.0;-3907624.0
1424.0;-1307.0;7784.0;687.0;-310.0;997.0;-997.0;1424000.0;1421269.0;7784.0;687.0;710978.0;-710291.0;710291.0;1424.0;-1307.0;7784000.0;7776903.0;3887798.0;3889105.0;-3889105.0
1816.0;-915.0;7316.0;219.0;-348.0;567.0;-567.0;1816000.0;1813269.0;7316.0;219.0;906744.0;-906525.0;906525.0;1816.0;-915.0;7316000.0;7308903.0;3653994.0;3654909.0;-3654909.0
2697.0;-34.0;6860.0;-237.0;-135.5;-101.5;101.5;2697000.0;2694269.0;6860.0;-237.0;1347016.0;-1347253.0;1347253.0;2697.0;-34.0;6860000.0;6852903.0;3426434.5;3426468.5;-3426468.5
